ability	美音:[ə'bɪləti]英音:[ə'bɪlɪtɪ]	n. 能力，能耐；才能
art	美音:[ɑrt]英音:[ɑːt]	n. 艺术；美术；艺术品 adj. 艺术的；艺术品的 v. 是（be的变体） n. (Art)人名；(泰、柬)阿；(英)阿特
article	美音:['ɑrtɪkl]英音:['ɑːtɪk(ə)l]	n. 文章；物品；条款；[语] 冠词 vt. 订约将…收为学徒或见习生；使…受协议条款的约束 vi. 签订协议；进行控告
aspirin	美音:['æsprɪn]英音:['æsp(ə)rɪn]	n. 阿司匹林（解热镇痛药）
assignment	美音:[ə'saɪnmənt]英音:[ə'saɪnm(ə)nt]	n. 分配；任务；作业；功课
atlas		n. 地图集；寰椎
audience	美音:['ɔdɪəns]英音:['ɔːdɪəns]	n. 观众；听众；读者；接见；正式会见；拜会
auditorium	美音:[,ɔdɪ'tɔrɪəm]英音:[ɔːdɪ'tɔːrɪəm]	n. 礼堂，会堂；观众席
author	美音:['ɔθɚ]英音:['ɔːθə]	n. 作者；作家；创始人 vt. 创作出版
authority	美音:[ə'θɔrəti]英音:[ɔː'θɒrɪtɪ]	n. 权威；权力；当局
average	美音:['ævərɪdʒ]英音:['æv(ə)rɪdʒ]	n. 平均；平均数；海损 adj. 平均的；普通的；通常的 vt. 算出…的平均数；将…平均分配；使…平衡 vi. 平均为；呈中间色
award	美音:[ə'wɔrd]英音:[ə'wɔːd]	vt. 授予；判定 n. 奖品；判决
bachelor	美音:['bætʃəlɚ]英音:['bætʃələ]	n. 学士；单身汉；（尚未交配的）小雄兽 n. (Bachelor)人名；(英)巴彻勒
background	美音:['bækɡraʊnd]英音:['bækgraʊnd]	n. 背景；隐蔽的位置 vt. 作…的背景 adj. 背景的；发布背景材料的
bacteria	美音:[bæk'tɪrɪə]英音:[bæk'tɪərɪə]	n. [微] 细菌
badge	美音:[bædʒ]英音:[bædʒ]	n. 徽章；证章；标记 vt. 授给…徽章
badminton	美音:['bædmɪntən]英音:['bædmɪnt(ə)n]	n. 羽毛球
backpack	美音:['bæk'pæk]英音:['bækpæk]	n. 双肩背包，背包；远足用的背包 vt. 挑运；把…放入背包 vi. 背负简便行李旅行；挑运
baldness	美音:['bɔldnɪs]英音:[bɔːldnɪs]	n. 光秃；率直；枯燥
band	美音:[bænd]英音:[bænd]	n. 带，环；[物] 波段；(演奏流行音乐的) 乐队 vi. 用带绑扎；给...镶边 n. n.乐队；队；一群
bandage	美音:['bændɪdʒ]英音:['bændɪdʒ]	n. 绷带 vt. 用绷带包扎
bands		n. 乐队；法官
bank	美音:[bæŋk]英音:[bæŋk]	n. 银行；岸；浅滩；储库 vt. 将…存入银行；倾斜转弯 vi. 堆积；倾斜转弯 n. (Bank)人名；(英、德、俄)班克；(法、匈)邦克
banquet	美音:['bæŋkwɪt]英音:['bæŋkwɪt]	n. 宴会，盛宴；宴请，款待 vt. 宴请，设宴款待 vi. 参加宴会 n. (Banquet)人名；(法)邦凯；(西)班克特
base	美音:[bes]英音:[beɪs]	n. 基础；底部；垒 adj. 卑鄙的；低劣的 vt. 以…作基础 n. (Base)人名；(日)马濑(姓)
basement	美音:['besmənt]英音:['beɪsm(ə)nt]	n. 地下室；地窖
bases	美音:['besiz]英音:['beɪsiːz]	n. 基础（base的复数形式）；根据；主要成分 n. (Bases)人名；(西)巴塞斯
basis	美音:['besɪs]英音:['beɪsɪs]	n. 基础；底部；主要成分；基本原则或原理
bath		n. 沐浴；浴室；浴盆 vt. 洗澡 vi. 洗澡
batteries	美音:['bætəris]英音:['bætəris]	n. [电] 电池（battery的复数形式）
battery	美音:['bæt(ə)rɪ]英音:['bætri]	n. [电] 电池，蓄电池 n. [法]殴打 n. [军]炮台，炮位
beach	美音:[bitʃ]英音:[biːtʃ]	n. 海滩；湖滨 vt. 将…拖上岸 vi. 搁浅；定居 n. (Beach)人名；(英)比奇
beard	美音:[bɪrd]英音:[bɪəd]	vt. 公然反对；抓…的胡须 n. 胡须；颌毛 vi. 充当掩护；充当男随员 n. (Beard)人名；(英)比尔德
beats		n. 心脏跳动（beat的复数）；音乐节拍；[物] 差拍振动 v. 敲打（beat的第三人称单数形式）；（心脏等）跳动（beat的第三人称单数）；搜索；（风、雨等）吹打；（鼓）咚咚地响
beauty	美音:['bjuti]英音:['bjuːtɪ]	n. 美；美丽；美人；美好的东西
bed	美音:[bɛd]英音:[bed]	n. 床；基础；河底， 海底 vt. 使睡觉；安置，嵌入；栽种 vi. 上床；分层
bedroom	美音:['bɛdrum]英音:['bedruːm; -rʊm]	n. 卧室 adj. 两性关系的；城郊住宅区的
bedsheet		n. 床单
bedsit	美音:['bɛdsɪt]英音:[bed'sɪt]	n. 卧室兼起居室 vt. 租用卧室兼起居室
behaviors	美音:[bɪ'hevjɚz]英音:[bɪ'heɪvjəz]	n. 行为；举止（behavior的复数）
belt	美音:[bɛlt]英音:[belt]	n. 带；腰带；地带 vt. 用带子系住；用皮带抽打 vi. 猛击 n. (Belt)人名；(英、法、德、西)贝尔特
benefit	美音:['bɛnɪfɪt]英音:['benɪfɪt]	n. 利益，好处；救济金 vt. 有益于，对…有益 vi. 受益，得益
beverage	美音:['bɛvərɪdʒ]英音:['bev(ə)rɪdʒ]	n. 饮料
bibliograpyh	美音:['bɛvərɪdʒ]英音:['bev(ə)rɪdʒ]	n. 饮料
bicycle	美音:['baɪsɪkl]英音:['baɪsɪkl]	n. 自行车 vi. 骑脚踏车 vt. 骑自行车运送
bill	美音:[bɪl]英音:[bɪl]	n. [法] 法案；广告；账单；[金融] 票据；钞票；清单 vt. 宣布；开账单；用海报宣传
biologist	美音:[baɪ'ɑlədʒɪst]英音:[baɪ'ɒlədʒɪst]	n. 生物学家
bird	美音:[bɝd]英音:[bɜːd]	n. 鸟；家伙；羽毛球 vt. 向…喝倒彩；起哄 vi. 猎鸟；观察研究野鸟 n. (Bird)人名；(英、西)伯德
birth	美音:[bɝθ]英音:[bɜːθ]	n. 出生；血统，出身；起源
blanket	美音:['blæŋkɪt]英音:['blæŋkɪt]	n. 毛毯，毯子；毯状物，覆盖层 adj. 总括的，全体的；没有限制的 vt. 覆盖，掩盖；用毯覆盖
blast	美音:[blæst]英音:[blɑːst]	n. 爆炸；冲击波；一阵 vi. 猛攻 vt. 爆炸；损害；使枯萎 n. (Blast)人名；(德)布拉斯特
block	美音:[blɑk]英音:[blɒk]	n. 块；街区；大厦；障碍物 vt. 阻止；阻塞；限制；封盖 adj. 成批的，大块的；交通堵塞的 n. (Block)人名；(英、法、德、西、葡、芬、罗)布洛克
blouse	美音:[blaʊs]英音:['blaʊz]	n. 宽松的上衣；女装衬衫 vt. 使…宽松下垂 vi. 宽松下垂
board	美音:[bɔrd]英音:[bɔːd]	n. 董事会；木板；甲板；膳食 vt. 上（飞机、车、船等）；用板盖上；给提供膳宿 vi. 寄宿 n. (Board)人名；(英、西)博德
boarder	美音:['bɔrdɚ]英音:['bɔːdə]	n. 寄膳者；寄膳宿者；寄宿生
boat	美音:[bot]英音:[bəʊt]	n. 小船；轮船 vi. 划船
bone	美音:[bon]英音:[bəʊn]	n. 骨；骨骼 vt. 剔去...的骨；施骨肥于 vi. 苦学；专心致志 n. (Bone)人名；(英)博恩；(法、西、罗、塞)博内；(老)奔
bowl	美音:[bol]英音:[bəʊl]	n. 碗；木球；大酒杯 vi. 玩保龄球；滑动；平稳快速移动 vt. 投球；旋转；平稳快速移动
bowling	美音:['bolɪŋ]英音:['bəʊlɪŋ]	n. 滚木球戏；保龄球戏 v. 打保龄球（bowl的现在分词） n. (Bowling)人名；(英)鲍林
branch	美音:[bræntʃ]英音:[brɑːn(t)ʃ]	vt. 分支；出现分歧 vi. 分支；出现分歧 n. 树枝，分枝；分部；支流 n. (Branch)人名；(英)布兰奇
breakfast	美音:['brɛkfəst]英音:['brekfəst]	n. 早餐；早饭 vi. 吃早餐 vt. 为…供应早餐
brick	美音:[brɪk]英音:[brɪk]	n. 砖，砖块；砖形物；心肠好的人 vt. 用砖砌 adj. 用砖做的；似砖的 n. (Brick)人名；(英、法、瑞典)布里克
bridge	美音:[brɪdʒ]英音:[brɪdʒ]	n. 桥；桥牌；桥接器；船桥 vt. 架桥；渡过 n. (Bridge)人名；(英)布里奇
brochures		n. [印刷][图情] 小册子（brochure的复数）
building	美音:['bɪldɪŋ]英音:['bɪldɪŋ]	n. 建筑；建筑物 v. 建筑；建立；增加（build的ing形式）
bungalow	美音:[ˈbʌŋɡəˌlo]英音:['bʌŋgələʊ]	n. 平房；小屋
burger		n. 汉堡包 n. (Burger)人名；(西)布尔赫尔；(法)比尔热；(英)伯格；(德、罗、捷、塞、匈)布格尔
burglar	美音:['bɝɡlɚ]英音:['bɜːglə]	n. 夜贼，窃贼
bus	美音:[bʌs]英音:[bʌs]	n. 公共汽车 乘公共汽车
cab	美音:[kæb]英音:[kæb]	n. 驾驶室；出租汽车；出租马车 vi. 乘出租马车（或汽车）
